river,erected,purpose,length,material
A,1819,HIGHWAY,1037,WOOD
A,1837,HIGHWAY,1000,WOOD
A,1840,HIGHWAY,990,WOOD
A,1844,AQUEDUCT,1000,IRON
M,1846,HIGHWAY,1500,IRON
A,1851,HIGHWAY,1000,WOOD
M,1856,HIGHWAY,1200,WOOD
A,1859,HIGHWAY,1030,IRON
M,1863,RR,1000,IRON
A,1864,RR,1200,IRON
A,1866,HIGHWAY,1000,WOOD
A,1870,HIGHWAY,1000,WOOD
M,1876,HIGHWAY,1245,STEEL
A,1876,HIGHWAY,1200,WOOD
M,1883,RR,1150,STEEL
A,1884,HIGHWAY,1080,STEEL
M,1884,HIGHWAY,1000,STEEL
M,1887,RR,1161,STEEL
O,1888,RR,4558,STEEL
M,1889,HIGHWAY,1120,IRON
A,1890,HIGHWAY,1000,STEEL
M,1891,RR,1350,STEEL
A,1892,AQUEDUCT,1092,WOOD
M,1895,HIGHWAY,2367,STEEL
M,1896,HIGHWAY,1040,STEEL
A,1897,RR,4000,STEEL
M,1897,RR,2264,STEEL
M,1898,RR,2000,STEEL
A,1900,HIGHWAY,1200,STEEL
A,1900,HIGHWAY,2000,STEEL
A,1902,HIGHWAY,1850,STEEL
M,1903,RR,1300,STEEL
A,1903,RR,3000,STEEL
M,1903,RR,1417,STEEL
M,1903,RR,1154,STEEL
M,1904,RR,1200,STEEL
A,1904,RR,965,STEEL
M,1904,RR,1504,STEEL
Y,1908,HIGHWAY,1240,STEEL
A,1909,HIGHWAY,1730,STEEL
O,1910,RR,1620,STEEL
O,1911,HIGHWAY,1652,STEEL
M,1914,RR,2210,STEEL
O,1915,RR,2822,STEEL
A,1915,HIGHWAY,1000,STEEL
A,1918,RR,2300,STEEL
A,1920,RR,2122,STEEL
A,1923,HIGHWAY,885,STEEL
A,1924,HIGHWAY,2365,STEEL
A,1926,HIGHWAY,860,STEEL
A,1926,HIGHWAY,884,STEEL
O,1927,HIGHWAY,1770,STEEL
A,1927,HIGHWAY,1508,STEEL
M,1927,HIGHWAY,2663,STEEL
M,1927,HIGHWAY,1330,STEEL
A,1928,HIGHWAY,2678,STEEL
M,1928,HIGHWAY,2220,STEEL
A,1928,HIGHWAY,860,STEEL
M,1928,HIGHWAY,2250,STEEL
O,1931,HIGHWAY,1365,STEEL
O,1931,HIGHWAY,1450,STEEL
M,1931,HIGHWAY,1500,STEEL
M,1937,HIGHWAY,1690,STEEL
A,1939,HIGHWAY,1800,STEEL
A,1945,HIGHWAY,1060,STEEL
A,1945,RR,840,STEEL
A,1945,HIGHWAY,1710,STEEL
O,1945,HIGHWAY,2160,STEEL
M,1950,HIGHWAY,1320,STEEL
M,1951,HIGHWAY,900,STEEL
M,1951,HIGHWAY,2423,STEEL
M,1951,HIGHWAY,1031,STEEL
A,1955,HIGHWAY,2300,STEEL
O,1955,HIGHWAY,804,STEEL
O,1959,HIGHWAY,1700,STEEL
M,1959,HIGHWAY,1000,STEEL
A,1961,HIGHWAY,980,STEEL
M,1962,HIGHWAY,2213,STEEL
A,1969,HIGHWAY,870,STEEL
O,1975,HIGHWAY,3756,STEEL
M,1978,HIGHWAY,950,STEEL
